"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Register using a valid full name, email and password","SUCCESS","2023-05-07T21:57:31.4192941+07:00[Asia/Krasnoyarsk]","0.0","4.49"
"Authentication","Login with registered or correct email and password","SUCCESS","2023-05-07T21:57:35.9376275+07:00[Asia/Krasnoyarsk]","0.0","0.37"
"Authentication","view user information","SUCCESS","2023-05-07T21:57:36.343394+07:00[Asia/Krasnoyarsk]","0.0","0.35"
"Products","GET All Product","SUCCESS","2023-05-07T21:57:36.759725+07:00[Asia/Krasnoyarsk]","0.0","0.77"
"Products","GET Product by id","SUCCESS","2023-05-07T21:57:37.6130581+07:00[Asia/Krasnoyarsk]","0.0","0.45"
"Products","Add new product","SUCCESS","2023-05-07T21:57:38.1287211+07:00[Asia/Krasnoyarsk]","0.0","0.37"
"Products","DELETE Product","SUCCESS","2023-05-07T21:57:38.5117624+07:00[Asia/Krasnoyarsk]","0.0","0.28"
"Products","GET products rating","SUCCESS","2023-05-07T21:57:38.8247627+07:00[Asia/Krasnoyarsk]","0.0","0.34"
"Products","GET products comment","SUCCESS","2023-05-07T21:57:39.3960103+07:00[Asia/Krasnoyarsk]","0.0","0.34"
"order","GET All Order","SUCCESS","2023-05-07T21:57:39.8315088+07:00[Asia/Krasnoyarsk]","0.0","0.34"
"order","GET As an admin I have be able to get id order","SUCCESS","2023-05-07T21:57:40.6767632+07:00[Asia/Krasnoyarsk]","0.0","0.19"
"category","GET  list of category","SUCCESS","2023-05-07T21:57:40.891457+07:00[Asia/Krasnoyarsk]","0.0","0.28"
"category","POST As an admin I have be able to create new product category","SUCCESS","2023-05-07T21:57:41.1761799+07:00[Asia/Krasnoyarsk]","0.0","0.19"
"category","GET id product category","SUCCESS","2023-05-07T21:57:41.3857312+07:00[Asia/Krasnoyarsk]","0.0","0.23"
"category","DELETE category","SUCCESS","2023-05-07T21:57:41.6323794+07:00[Asia/Krasnoyarsk]","0.0","0.25"
